"locality","unit","family type","type of income","time","Family income"
"Narsarmijit","Average income for alle families (DKK)","Couples, total","1. Disposable income (2-23-24+25-26)","2019",210622
"Narsarmijit","Average income for alle families (DKK)","Couples, total","1. Disposable income (2-23-24+25-26)","2020",228710
"Narsarmijit","Average income for alle families (DKK)","Couples, total","1. Disposable income (2-23-24+25-26)","2021",244239
"Narsarmijit","Average income for alle families (DKK)","Couples, total","1. Disposable income (2-23-24+25-26)","2022",302408
"Narsarmijit","Average income for alle families (DKK)","Single people, total","1. Disposable income (2-23-24+25-26)","2012",112770
"Narsarmijit","Average income for alle families (DKK)","Single people, total","1. Disposable income (2-23-24+25-26)","2013",106072
"Narsarmijit","Average income for alle families (DKK)","Single people, total","1. Disposable income (2-23-24+25-26)","2014",127386
"Narsarmijit","Average income for alle families (DKK)","Single people, total","1. Disposable income (2-23-24+25-26)","2015",117316
"Narsarmijit","Average income for alle families (DKK)","Single people, total","1. Disposable income (2-23-24+25-26)","2016",137108
"Narsarmijit","Average income for alle families (DKK)","Single people, total","1. Disposable income (2-23-24+25-26)","2017",120604
"Narsarmijit","Average income for alle families (DKK)","Single people, total","1. Disposable income (2-23-24+25-26)","2018",122400
"Narsarmijit","Average income for alle families (DKK)","Single people, total","1. Disposable income (2-23-24+25-26)","2019",112696
"Narsarmijit","Average income for alle families (DKK)","Single people, total","1. Disposable income (2-23-24+25-26)","2020",105869
"Narsarmijit","Average income for alle families (DKK)","Single people, total","1. Disposable income (2-23-24+25-26)","2021",90342
"Narsarmijit","Average income for alle families (DKK)","Single people, total","1. Disposable income (2-23-24+25-26)","2022",95455
"Tasiusaq (NAN)","Average income for alle families (DKK)","Families, total","1. Disposable income (2-23-24+25-26)","2012",134701
"Tasiusaq (NAN)","Average income for alle families (DKK)","Families, total","1. Disposable income (2-23-24+25-26)","2013",144969
"Tasiusaq (NAN)","Average income for alle families (DKK)","Families, total","1. Disposable income (2-23-24+25-26)","2014",129578
"Tasiusaq (NAN)","Average income for alle families (DKK)","Families, total","1. Disposable income (2-23-24+25-26)","2015",158018
"Tasiusaq (NAN)","Average income for alle families (DKK)","Families, total","1. Disposable income (2-23-24+25-26)","2016",164702
"Tasiusaq (NAN)","Average income for alle families (DKK)","Families, total","1. Disposable income (2-23-24+25-26)","2017",162128
"Tasiusaq (NAN)","Average income for alle families (DKK)","Families, total","1. Disposable income (2-23-24+25-26)","2018",163009
"Tasiusaq (NAN)","Average income for alle families (DKK)","Families, total","1. Disposable income (2-23-24+25-26)","2019",154724
"Tasiusaq (NAN)","Average income for alle families (DKK)","Families, total","1. Disposable income (2-23-24+25-26)","2020",158902
"Tasiusaq (NAN)","Average income for alle families (DKK)","Families, total","1. Disposable income (2-23-24+25-26)","2021",169485
"Tasiusaq (NAN)","Average income for alle families (DKK)","Families, total","1. Disposable income (2-23-24+25-26)","2022",160767
"Tasiusaq (NAN)","Average income for alle families (DKK)","Couples, total","1. Disposable income (2-23-24+25-26)","2012",236420
"Tasiusaq (NAN)","Average income for alle families (DKK)","Couples, total","1. Disposable income (2-23-24+25-26)","2013",225585
"Tasiusaq (NAN)","Average income for alle families (DKK)","Couples, total","1. Disposable income (2-23-24+25-26)","2014",201313
"Tasiusaq (NAN)","Average income for alle families (DKK)","Couples, total","1. Disposable income (2-23-24+25-26)","2015",254608
"Tasiusaq (NAN)","Average income for alle families (DKK)","Couples, total","1. Disposable income (2-23-24+25-26)","2016",237567
"Tasiusaq (NAN)","Average income for alle families (DKK)","Couples, total","1. Disposable income (2-23-24+25-26)","2017",263837
"Tasiusaq (NAN)","Average income for alle families (DKK)","Couples, total","1. Disposable income (2-23-24+25-26)","2018",249524
"Tasiusaq (NAN)","Average income for alle families (DKK)","Couples, total","1. Disposable income (2-23-24+25-26)","2019",232027
"Tasiusaq (NAN)","Average income for alle families (DKK)","Couples, total","1. Disposable income (2-23-24+25-26)","2020",249890
"Tasiusaq (NAN)","Average income for alle families (DKK)","Couples, total","1. Disposable income (2-23-24+25-26)","2021",300689
"Tasiusaq (NAN)","Average income for alle families (DKK)","Couples, total","1. Disposable income (2-23-24+25-26)","2022",269675
"Tasiusaq (NAN)","Average income for alle families (DKK)","Single people, total","1. Disposable income (2-23-24+25-26)","2012",97712
"Tasiusaq (NAN)","Average income for alle families (DKK)","Single people, total","1. Disposable income (2-23-24+25-26)","2013",106782
"Tasiusaq (NAN)","Average income for alle families (DKK)","Single people, total","1. Disposable income (2-23-24+25-26)","2014",95821
"Tasiusaq (NAN)","Average income for alle families (DKK)","Single people, total","1. Disposable income (2-23-24+25-26)","2015",112942
"Tasiusaq (NAN)","Average income for alle families (DKK)","Single people, total","1. Disposable income (2-23-24+25-26)","2016",123065
"Tasiusaq (NAN)","Average income for alle families (DKK)","Single people, total","1. Disposable income (2-23-24+25-26)","2017",133876
"Tasiusaq (NAN)","Average income for alle families (DKK)","Single people, total","1. Disposable income (2-23-24+25-26)","2018",127385
"Tasiusaq (NAN)","Average income for alle families (DKK)","Single people, total","1. Disposable income (2-23-24+25-26)","2019",116073
"Tasiusaq (NAN)","Average income for alle families (DKK)","Single people, total","1. Disposable income (2-23-24+25-26)","2020",133425
"Tasiusaq (NAN)","Average income for alle families (DKK)","Single people, total","1. Disposable income (2-23-24+25-26)","2021",117003
"Tasiusaq (NAN)","Average income for alle families (DKK)","Single people, total","1. Disposable income (2-23-24+25-26)","2022",118151
"Ammassivik","Average income for alle families (DKK)","Families, total","1. Disposable income (2-23-24+25-26)","2012",112394
"Ammassivik","Average income for alle families (DKK)","Families, total","1. Disposable income (2-23-24+25-26)","2013",111437
"Ammassivik","Average income for alle families (DKK)","Families, total","1. Disposable income (2-23-24+25-26)","2014",119161
"Ammassivik","Average income for alle families (DKK)","Families, total","1. Disposable income (2-23-24+25-26)","2015",117567
"Ammassivik","Average income for alle families (DKK)","Families, total","1. Disposable income (2-23-24+25-26)","2016",124693
"Ammassivik","Average income for alle families (DKK)","Families, total","1. Disposable income (2-23-24+25-26)","2017",137074
"Ammassivik","Average income for alle families (DKK)","Families, total","1. Disposable income (2-23-24+25-26)","2018",152470
"Ammassivik","Average income for alle families (DKK)","Families, total","1. Disposable income (2-23-24+25-26)","2019",139796
"Ammassivik","Average income for alle families (DKK)","Families, total","1. Disposable income (2-23-24+25-26)","2020",158607
"Ammassivik","Average income for alle families (DKK)","Families, total","1. Disposable income (2-23-24+25-26)","2021",155942
"Ammassivik","Average income for alle families (DKK)","Families, total","1. Disposable income (2-23-24+25-26)","2022",158219
"Ammassivik","Average income for alle families (DKK)","Couples, total","1. Disposable income (2-23-24+25-26)","2012",225564
"Ammassivik","Average income for alle families (DKK)","Couples, total","1. Disposable income (2-23-24+25-26)","2013",..
"Ammassivik","Average income for alle families (DKK)","Couples, total","1. Disposable income (2-23-24+25-26)","2014",..
"Ammassivik","Average income for alle families (DKK)","Couples, total","1. Disposable income (2-23-24+25-26)","2015",..
"Ammassivik","Average income for alle families (DKK)","Couples, total","1. Disposable income (2-23-24+25-26)","2016",..
"Ammassivik","Average income for alle families (DKK)","Couples, total","1. Disposable income (2-23-24+25-26)","2017",232117
"Ammassivik","Average income for alle families (DKK)","Couples, total","1. Disposable income (2-23-24+25-26)","2018",254615
"Ammassivik","Average income for alle families (DKK)","Couples, total","1. Disposable income (2-23-24+25-26)","2019",263915
"Ammassivik","Average income for alle families (DKK)","Couples, total","1. Disposable income (2-23-24+25-26)","2020",304651
"Ammassivik","Average income for alle families (DKK)","Couples, total","1. Disposable income (2-23-24+25-26)","2021",282153
"Ammassivik","Average income for alle families (DKK)","Couples, total","1. Disposable income (2-23-24+25-26)","2022",319334
"Ammassivik","Average income for alle families (DKK)","Single people, total","1. Disposable income (2-23-24+25-26)","2012",74671
"Ammassivik","Average income for alle families (DKK)","Single people, total","1. Disposable income (2-23-24+25-26)","2013",84133
"Ammassivik","Average income for alle families (DKK)","Single people, total","1. Disposable income (2-23-24+25-26)","2014",90804
"Ammassivik","Average income for alle families (DKK)","Single people, total","1. Disposable income (2-23-24+25-26)","2015",94266
"Ammassivik","Average income for alle families (DKK)","Single people, total","1. Disposable income (2-23-24+25-26)","2016",99784
"Ammassivik","Average income for alle families (DKK)","Single people, total","1. Disposable income (2-23-24+25-26)","2017",97473
"Ammassivik","Average income for alle families (DKK)","Single people, total","1. Disposable income (2-23-24+25-26)","2018",105326
"Ammassivik","Average income for alle families (DKK)","Single people, total","1. Disposable income (2-23-24+25-26)","2019",98423
"Ammassivik","Average income for alle families (DKK)","Single people, total","1. Disposable income (2-23-24+25-26)","2020",103840
"Ammassivik","Average income for alle families (DKK)","Single people, total","1. Disposable income (2-23-24+25-26)","2021",116086
"Ammassivik","Average income for alle families (DKK)","Single people, total","1. Disposable income (2-23-24+25-26)","2022",115820
"Alluitsoq","Average income for alle families (DKK)","Families, total","1. Disposable income (2-23-24+25-26)","2012",...
"Alluitsoq","Average income for alle families (DKK)","Families, total","1. Disposable income (2-23-24+25-26)","2013",...
"Alluitsoq","Average income for alle families (DKK)","Families, total","1. Disposable income (2-23-24+25-26)","2014",...
"Alluitsoq","Average income for alle families (DKK)","Families, total","1. Disposable income (2-23-24+25-26)","2015",...
"Alluitsoq","Average income for alle families (DKK)","Families, total","1. Disposable income (2-23-24+25-26)","2016",...
"Alluitsoq","Average income for alle families (DKK)","Families, total","1. Disposable income (2-23-24+25-26)","2017",...
"Alluitsoq","Average income for alle families (DKK)","Families, total","1. Disposable income (2-23-24+25-26)","2018",...
"Alluitsoq","Average income for alle families (DKK)","Families, total","1. Disposable income (2-23-24+25-26)","2019",...
"Alluitsoq","Average income for alle families (DKK)","Families, total","1. Disposable income (2-23-24+25-26)","2020",...
"Alluitsoq","Average income for alle families (DKK)","Families, total","1. Disposable income (2-23-24+25-26)","2021",...
"Alluitsoq","Average income for alle families (DKK)","Families, total","1. Disposable income (2-23-24+25-26)","2022",...
"Alluitsoq","Average income for alle families (DKK)","Couples, total","1. Disposable income (2-23-24+25-26)","2012",...
"Alluitsoq","Average income for alle families (DKK)","Couples, total","1. Disposable income (2-23-24+25-26)","2013",...
"Alluitsoq","Average income for alle families (DKK)","Couples, total","1. Disposable income (2-23-24+25-26)","2014",...
"Alluitsoq","Average income for alle families (DKK)","Couples, total","1. Disposable income (2-23-24+25-26)","2015",...
"Alluitsoq","Average income for alle families (DKK)","Couples, total","1. Disposable income (2-23-24+25-26)","2016",...
"Alluitsoq","Average income for alle families (DKK)","Couples, total","1. Disposable income (2-23-24+25-26)","2017",...
"Alluitsoq","Average income for alle families (DKK)","Couples, total","1. Disposable income (2-23-24+25-26)","2018",...
"Alluitsoq","Average income for alle families (DKK)","Couples, total","1. Disposable income (2-23-24+25-26)","2019",...
"Alluitsoq","Average income for alle families (DKK)","Couples, total","1. Disposable income (2-23-24+25-26)","2020",...
"Alluitsoq","Average income for alle families (DKK)","Couples, total","1. Disposable income (2-23-24+25-26)","2021",...
"Alluitsoq","Average income for alle families (DKK)","Couples, total","1. Disposable income (2-23-24+25-26)","2022",...
"Alluitsoq","Average income for alle families (DKK)","Single people, total","1. Disposable income (2-23-24+25-26)","2012",...
"Alluitsoq","Average income for alle families (DKK)","Single people, total","1. Disposable income (2-23-24+25-26)","2013",...
"Alluitsoq","Average income for alle families (DKK)","Single people, total","1. Disposable income (2-23-24+25-26)","2014",...
"Alluitsoq","Average income for alle families (DKK)","Single people, total","1. Disposable income (2-23-24+25-26)","2015",...
"Alluitsoq","Average income for alle families (DKK)","Single people, total","1. Disposable income (2-23-24+25-26)","2016",...
"Alluitsoq","Average income for alle families (DKK)","Single people, total","1. Disposable income (2-23-24+25-26)","2017",...
"Alluitsoq","Average income for alle families (DKK)","Single people, total","1. Disposable income (2-23-24+25-26)","2018",...
