season,field_code,ice_season_length
2015,MX009,6
2015,MX009,29
2015,MX009,51
2015,MX010,0
2015,MX010,25
2015,MX011,0
2015,MZ007,0
2015,MZ007,48
2015,MZ008,0
2015,MZ008,135
2015,MZ008,61
2015,MZ008,0
2015,MZ008,117
2015,MZ008,2
2015,MZ008,51
2015,MZ008,27
2015,MZ009,67
2015,MZ009,140
2015,MZ009,40
2015,MZ009,97
2015,MZ009,125
2015,MZ009,4
2015,MZ009,62
2015,MZ009,131
2015,MZ010,126
2015,MZ010,112
2015,MZ010,114
2015,MZ010,9
2015,MZ011,17
2015,MZ011,21
2015,MZ011,1
2015,MZ011,41
2015,MZ012,0
2015,NA008,0
2015,NA008,20
2015,NA008,77
2015,NA008,161
2015,NA009,109
2015,NA009,4
2015,NB007,30
2015,NB008,5
2015,NB008,126
2015,ND006,0
2015,ND007,109
2015,ND007,7
2015,ND007,13
2015,ND007,142
2015,ND007,124
2015,ND008,25
2015,ND008,0
2015,ND008,7
2015,ND008,67
2015,ND008,140
2015,ND008,159
2015,ND009,0
2015,ND009,0
2015,ND009,107
2015,ND010,0
2015,NE010,0
2015,NG006,14
2015,NG007,66
2015,NH006,25
2015,NH007,0
2015,NL005,9
2015,NM003,120
2015,NM003,0
2015,NM004,56
2015,NM005,0
2015,NM006,87
2015,NM007,36
2015,NM007,8
2015,NN003,78
2015,NN004,154
2015,NN004,55
2015,NN005,9
2015,NN005,151
2015,NN006,0
2015,NN006,25
2015,NN006,148
2015,NN006,61
2015,NN007,148
2015,NN007,0
2015,NN007,2
2015,PR392,0
2015,PR395,126
2015,PR396,135
2015,PR396,0
2015,PR397,125
2015,PR397,0
2015,PR397,39
2015,PR398,0
2015,PS392,28
2015,PS394,39
2015,PS395,185
2015,PS395,35
2015,PS395,0
2015,PS396,178
2015,PS397,145
2015,PS398,10
2015,PS405,15
2015,PS405,0
2015,PS405,0
2015,PS406,31
2015,PS406,3
2015,PT398,7
2015,PT405,104
2015,PT405,116
2015,PT405,70
2015,PT406,57
2015,PT406,24
2015,PT406,0
2016,KH021,1
2016,LA025,63
2016,LA026,13
2016,LB023,62
2016,LB023,10
2016,LB024,0
2016,LB025,70
2016,LB025,0
2016,LB026,28
2016,LB027,44
2016,LB028,16
2016,LD024,23
2016,LD024,0
2016,LD025,17
2016,LD026,34
2016,LD027,14
2016,LD027,63
2016,LD028,49
2016,LD028,82
2016,LE027,27
2016,LE027,44
2016,LE028,0
2016,LE028,43
2016,LF026,35
2016,LF026,0
2016,LF027,0
2016,LF027,38
2016,LF028,14
2016,LF028,56
2016,LF028,15
2016,LF028,64
2016,LG018,0
2016,LG018,0
2016,LG018,0
2016,LG021,0
2016,LG028,12
2016,LG028,18
2016,LG029,124
2016,LG029,0
2016,LG030,179
2016,LG030,69
2016,LG030,21
2016,LG030,0
2016,LG030,33
2016,LG031,96
2016,LG031,0
2016,LH018,5
2016,LH019,10
2016,LH020,5
2016,LH028,0
2016,LJ015,0
2016,LJ017,6
2016,LN024,50
2016,LN025,42
2016,LN026,28
2016,LN027,38
2016,LN028,7
2016,LN028,69
2016,LN028,46
2016,LP024,22
2016,LP025,21
2016,LP026,4
2016,LP027,0
2016,LS029,0
2016,LT025,0
2016,LT026,39
2016,LT027,146
2016,LT027,2
2016,LT027,81
2016,LT027,0
2016,LT028,86
2016,LT028,0
2016,LT029,275
2016,LV024,19
2016,LV024,106
2016,LV025,2
2016,LV025,45
2016,LV025,3
2016,LV025,13
2016,LV025,0
2016,LV025,94
2016,LV026,92
2016,LV026,0
2016,LV026,90
2016,LV027,230
2016,LV027,0
2016,LV027,12
2016,LV027,50
2016,LV027,59
2016,LV027,2
2016,LV027,0
2016,LV028,89
2016,LV028,13
2016,LV028,0
2016,LV028,0
2016,LV028,51
2016,LV029,73
2016,LV029,33
2016,LX022,106
2016,LX023,0
2016,LX023,106
2016,LX023,103
2016,LX024,27
2016,LX024,0
2016,LX024,81
2016,LX024,111
2016,LX024,0
2016,LX024,112
2016,LX024,73
2016,LX024,114
2016,LX024,122
2016,LX025,0
2016,LX025,0
2016,LX025,69
2016,LX025,97
2016,LX025,109
2016,LX026,29
2016,LX026,0
2016,LX026,112
2016,LX026,12
2016,LX026,105
2016,LX026,130
2016,LX026,0
2016,LX026,84
2016,LX027,119
2016,LX027,0
2016,LX027,128
2016,LX027,111
2016,LX028,97
2016,LX028,16
2016,LX028,21
2016,LX028,0
2016,LX029,35
2016,LX029,71
2016,LZ018,14
2016,LZ020,11
2016,LZ020,0
2016,LZ021,45
2016,LZ022,87
2016,LZ022,0
2016,LZ022,82
2016,LZ023,98
2016,LZ023,97
2016,LZ024,85
2016,LZ024,97
2016,LZ024,103
2016,LZ025,11
2016,LZ025,145
2016,LZ025,0
2016,LZ026,135
2016,LZ026,7
2016,LZ026,171
2016,LZ026,50
2016,LZ027,143
2016,LZ028,32
2016,LZ028,108
2016,LZ028,1
2016,LZ029,77
2016,MA022,0
2016,MA023,3
2016,MA024,134
2016,MA025,47
2016,MA025,133
2016,MA026,135
2016,MA026,86
2016,MA026,0
2016,MA027,52
2016,MA027,22
2016,MA028,0
2016,MB005,0
2016,MB007,33
2016,MB008,0
2016,MB022,0
2016,MB023,62
2016,MB024,5
2016,MB024,148
2016,MB024,0
2016,MB025,0
2016,MB025,147
2016,MB025,101
2016,MB026,0
2016,MB026,133
2016,MB026,21
2016,MB027,46
2016,MB028,0
2016,MB028,78
2016,MD008,0
2016,MD019,286
2016,MD020,23
2016,MD021,0
2016,MD022,0
2016,MD022,16
2016,ME020,11
2016,ME021,0
2016,MF019,26
2016,MF019,0
2016,MF020,55
2016,MF020,125
2016,MF021,0
2016,MF021,99
2016,MG019,72
2016,MG019,0
2016,MG020,55
2016,MG021,101
2016,MG021,109
2016,MG022,265
2016,MG022,64
2016,MG022,0
2016,MG022,0
2016,MG023,0
2016,MG023,0
2016,MG023,0
2016,MH026,0
2016,MM011,21
2016,MM011,35
2016,MM011,35
2016,MN003,78
2016,MN007,0
2016,MP008,0
2016,MT007,3
2016,MT008,1
2016,MT008,0
2016,MT009,0
2016,MT010,53
2016,MT011,14
2016,MV010,91
2016,MV011,65
2016,MV012,76
2016,MV013,37
2016,MX008,18
2016,MX009,99
2016,MX009,74
2016,MX009,112
2016,MX010,66
2016,MX011,0
2016,MZ007,0
2016,MZ008,163
2016,MZ008,130
2016,MZ008,11
2016,MZ008,7
2016,MZ009,128
2016,MZ009,136
2016,MZ009,107
2016,MZ010,137
2016,MZ010,132
2016,MZ010,97
2016,MZ011,93
2016,MZ011,75
2016,MZ012,3
2016,NA005,0
2016,NA008,0
2016,NA008,154
2016,NA009,59
2016,NA009,98
2016,NA010,0
2016,NB007,10
2016,NB007,60
2016,NB008,87
2016,NB008,0
2016,NB008,0
2016,NB008,0
2016,NB008,112
2016,NB009,42
2016,NB009,92
2016,ND006,0
2016,ND006,0
2016,ND007,25
2016,ND007,27
2016,ND007,2
2016,ND007,22
2016,ND007,155
2016,ND007,25
2016,ND007,135
2016,ND007,0
2016,ND008,49
2016,ND008,28
2016,ND008,154
2016,ND008,161
2016,ND009,20
2016,ND009,0
2016,ND009,24
2016,ND009,82
2016,ND010,3
2016,NG004,0
2016,NG007,21
2016,NG007,41
2016,NG007,36
2016,NG007,59
2016,NG009,0
2016,NH004,0
2016,NH004,11
2016,NH004,66
2016,NH004,1
2016,NH005,1
2016,NH005,22
2016,NH005,0
2016,NM003,143
2016,NM004,0
2016,NM004,10
2016,NM004,0
2016,NM005,1
2016,NM006,38
2016,NM007,11
2016,NN003,0
2016,NN003,157
2016,NN003,28
2016,NN004,0
2016,NN004,157
2016,NN004,41
2016,NN005,0
2016,NN005,156
2016,NN005,0
2016,NN005,6
2016,NN006,65
2016,NN006,22
2016,NN006,157
2016,NN006,52
2016,NN006,6
2016,NN007,0
2016,NN007,156
2016,NN007,25
2016,PR394,91
2016,PR395,86
2016,PR396,137
2016,PR397,111
2016,PR398,35
2016,PS392,34
2016,PS394,141
2016,PS395,173
2016,PS395,0
2016,PS395,0
2016,PS396,208
2016,PS396,0
2016,PS397,133
2016,PS398,0
2016,PS398,0
2016,PS406,0
2016,PT398,45
2016,PT398,6
2016,PT404,0
2016,PT405,126
2016,PT405,89
2016,PT405,0
2016,PT406,94
2016,PT406,73
2016,PT406,33
2016,PT407,0
2017,JV019,0
2017,KE019,7
2017,KH021,0
2017,KS018,27
2017,KS019,16
2017,LA025,1
2017,LB018,0
2017,LB022,0
2017,LB023,0
2017,LB024,0
2017,LB024,0
2017,LB025,5
2017,LB025,49
2017,LB025,52
2017,LB027,46
2017,LB028,0
2017,LB028,64
2017,LD020,37
2017,LD027,73
2017,LD028,69
2017,LD029,0
2017,LE028,31
2017,LF027,0
2017,LF028,48
2017,LG018,24
2017,LG019,18
2017,LG024,0
2017,LG028,277
2017,LG029,0
2017,LG030,174
2017,LG030,58
2017,LG031,96
2017,LG031,52
2017,LG031,5
2017,LH018,11
2017,LH019,31
2017,LH028,1
2017,LH029,1
2017,LN025,0
