seasonal_year,sellers_locality,ice-only,majority-ice,majority-water,water-only,"Couples, total","Families, total","Single people, total"
2018,Oqaatsut,,,88288.93,13365.73,..,172721,116325
2018,Paamiut,,,,86116.83499999999,336423,203850,133881
2018,Qaanaaq,44893.975,,,,287154,180828,116108
2018,Qaarsut,31064.5,195385.45,275065.725,44260.5,309038,207451,116907
2018,Qaqortoq,,,,50647.78,378721,225099,149688
2018,Qasigiannguit,,24897.91,101546.5,74816.0,344071,226003,138417
2018,Qassimiut,,,,25688.625,..,153108,83581
2018,Qeqertaq,,26170.5,285462.46,104068.345,375866,255709,135551
2018,Qeqertarsuaq,260.0,,123815.88,58392.375,...,...,...
2018,Qeqertarsuatsiaat,,,,137914.975,350010,211703,134345
2018,Qeqertat,20076.0,,,,248412,154159,75615
2018,Saattut,151023.0,208934.21999999997,209176.42,31977.94,373215,272057,130905
2018,Saqqaq,,,195346.38,130774.635,337039,213941,122407
2018,Savissivik,65478.125,,,6404.75,206569,139860,88848
2018,Sermiligaaq,,,,161940.0,284411,165147,80790
2018,Siorapaluk,38058.625,,,,203453,184702,153450
2018,Sisimiut,,,53260.75,200584.66,415106,260681,169650
2018,Tasiilaq,,,,40647.5,341281,204813,143569
2018,Ukkusissat,11105.5,178032.85,338591.9,86127.5,316466,226937,129948
2018,Upernavik,14383.875,82096.125,124396.54000000001,33709.5,334713,224891,128744
2018,Upernavik Kujalleq,15229.5,100174.2,138405.7,16681.75,264604,160802,98521
2018,Uummannaq,69226.5,245625.0,255431.45,21946.65,363562,231802,144828
2019,Aasiaat,,11650.0,,34620.0,332887,204154,140090
2019,Akunnaaq,,,,18941.565000000002,312480,186738,143379
2019,Alluitsup Paa,,,,75947.55,222258,139459,103417
2019,Arsuk,,,,2876.2200000000003,327972,201838,134266
2019,Atammik,,,,169777.0,317155,211824,108834
2019,Attu,,,,77129.75,248513,176479,102807
2019,Eqalugaarsuit,,,,4180.5,240035,168928,129934
2019,Iginniarfik,,,,10989.0,232561,153530,110422
2019,Ikamiut,,,,36491.485,293793,230036,139714
2019,Ikerasak,56280.0,209110.0,299689.05000000005,80324.005,299535,206049,109100
2019,Ilimanaq,,,931426.19,203739.345,328138,195361,138457
2019,Ilulissat,40040.0,102047.23000000001,211549.0,197347.04499999998,412340,257812,160749
2019,Innaarsuit,52602.75,173666.48,211667.34,12634.119999999999,372093,260890,149687
2019,Kangaamiut,,,,20437.0,304040,203251,130774
2019,Kangaatsiaq,,,,29673.635000000002,287768,194805,115123
2019,Kangerluk,,,,125676.0,..,154866,114812
2019,Kangersuatsiaq,,109997.32,144655.43,48486.11,238849,146704,98629
2019,Kitsissuarsuit,,,,48582.0,279759,189056,124268
2019,Kullorsuaq,61568.75,138279.0,141843.25,30830.0,248305,167942,104579
2019,Kulusuk,,,,41980.5,243038,166147,117217
2019,Maniitsoq,,,,26334.5,379555,241236,163484
2019,Naajaat,31623.5,83633.75,218991.37,45480.96,219918,149682,95655
2019,Nanortalik,,,,29155.5,312713,189805,133519
2019,Narsaq,,,,10569.25,317662,197618,136346
2019,Niaqornaarsuk,,,,38102.0,280981,173587,107386
2019,Niaqornat,,,113754.255,12898.0,227779,156714,109337
2019,Nutaarmiut,44675.25,201550.0,186162.74,75760.0,301728,253341,214632
2019,Nuuk,,,93634.0,94582.0,508009,309949,205922
2019,Oqaatsut,,,60741.32,127513.685,..,190809,141126
2019,Paamiut,,,,69566.13,342503,203287,134428
2019,Qaanaaq,33019.625,,,,289618,180673,116195
2019,Qaarsut,178982.5,152383.19,261306.38,93694.0,315325,226431,130869
2019,Qaqortoq,,,,79013.0,388598,230742,151280
2019,Qasigiannguit,,,81585.0,89642.0,344346,225936,141143
2019,Qassimiut,,,,209521.715,..,139274,100881
2019,Qeqertaq,,,244304.5,186705.66,348394,232518,139817
2019,Qeqertarsuaq,,203326.0,83345.5,38584.0,...,...,...
2019,Qeqertarsuatsiaat,,,,208044.0,348610,213175,134172
2019,Qeqertat,19477.5,,,,236305,151404,66503
2019,Saattut,,202371.03,222640.0,60472.785,362328,263212,143007
2019,Saqqaq,,8016.5,115643.0,109540.0,328709,217863,136756
2019,Savissivik,9001.5,,,,206447,145002,92335
2019,Sermiligaaq,,,,183161.0,270063,150506,81530
2019,Siorapaluk,25767.065,,,,222090,183672,145254
2019,Sisimiut,,,62737.31,1075.7,422565,259607,169695
2019,Tasiilaq,,,,66146.875,357134,200772,136569
2019,Ukkusissat,29738.07,188780.0,341969.5,72143.25,302699,224717,148788
2019,Upernavik,87228.75,72480.0,140791.78,73329.5,361638,236522,135819
2019,Upernavik Kujalleq,35560.0,85299.27,150563.62,47830.0,271915,176446,95504
2019,Uummannaq,32247.5,192760.125,214740.75,57078.5,376316,237309,142824
2020,Aasiaat,,,,61242.5,352384,212329,143084
2020,Akunnaaq,,,,68304.0,307674,185555,129584
2020,Alluitsup Paa,,,,52660.25,262591,159316,106990
2020,Arsuk,,,,140910.75,350262,197735,128405
2020,Atammik,,,,114028.5,297798,194176,105665
2020,Attu,,,,42357.22,240057,161076,99978
2020,Eqalugaarsuit,,,,24597.125,278671,179996,133561
2020,Iginniarfik,,,,5376.25,240379,182185,119834
2020,Ikamiut,,,204182.49,116655.475,304041,215327,113939
2020,Ikerasak,24916.5,71258.25,245740.1,39296.0,294535,208676,121311
2020,Ilimanaq,,,,130079.0,285732,209605,169538
2020,Ilulissat,,5848.18,160621.685,186891.0,415140,265676,170319
2020,Innaarsuit,73194.125,158470.0,220254.3,29219.16,338820,243250,138122
2020,Kangaamiut,,,,56150.5,323163,215835,135963
2020,Kangaatsiaq,,,103394.25,39166.104999999996,290817,197038,122426
2020,Kangerluk,,,,113080.75,..,174645,114743
2020,Kangersuatsiaq,,72605.255,152999.7,25933.165,208178,145089,105476
2020,Kitsissuarsuit,,,287547.0,69151.5,309568,193693,106787
2020,Kullorsuaq,42921.0,119925.5,164911.62,36594.0,272747,181032,112027
2020,Kulusuk,,,,73264.125,282855,171832,110153
2020,Maniitsoq,,,,114145.7,397280,247692,161419
2020,Naajaat,17550.0,68409.33,200449.74,25909.010000000002,306609,194360,93337
2020,Nanortalik,,,,20798.39,325279,195213,137104
2020,Narsaq,,,,42429.0,335236,201006,135347
2020,Narsarsuaq,,,,101452.01,381873,249000,199454
