sellers_locality,seasonal_year,vessel_type,ppk
Nuugaatsiaq,2012,ice,14.391608391608392
Nuugaatsiaq,2012,water,13.310227272727273
Nuugaatsiaq,2013,ice,14.35276073619632
Nuugaatsiaq,2013,water,12.347122302158274
Nuugaatsiaq,2014,ice,15.973484848484848
Nuugaatsiaq,2014,water,15.873096648721686
Nuugaatsiaq,2015,ice,16.5
Nuugaatsiaq,2015,water,18.21656050955414
Nuugaatsiaq,2016,ice,18.814285714285713
Nuugaatsiaq,2016,water,19.402298850574713
Nuugaatsiaq,2017,water,21.041658446501092
Nuuk,2012,water,10.613311702175128
Nuuk,2013,ice,10.647058823529411
Nuuk,2013,water,10.062791093716045
Nuuk,2014,ice,20.5
Nuuk,2014,water,13.29201872526836
Nuuk,2015,ice,23.333333333333332
Nuuk,2015,water,13.539224987199372
Nuuk,2016,water,13.48883006217027
Nuuk,2017,ice,18.249997371969005
Nuuk,2017,water,12.789155194480239
Nuuk,2018,ice,17.06122448979592
Nuuk,2018,water,13.113957008753609
Nuuk,2019,ice,19.54
Nuuk,2019,water,12.918814867519568
Nuuk,2020,ice,21.0
Nuuk,2020,water,13.131484120669434
Nuuk,2021,ice,21.375
Nuuk,2021,water,12.868483348447711
Nuuk,2022,ice,23.626003133709983
Nuuk,2022,water,13.570890931730055
Oqaatsut,2012,water,17.3826164874552
Oqaatsut,2013,water,17.727272727272727
Oqaatsut,2014,water,19.467368421052633
Oqaatsut,2015,ice,25.0
Oqaatsut,2015,water,15.856730769230769
Oqaatsut,2016,ice,24.0
Oqaatsut,2016,water,14.813055555555556
Oqaatsut,2017,water,11.811172096932966
Oqaatsut,2018,water,22.07384354851153
Oqaatsut,2019,water,23.14286183287127
Oqaatsut,2020,ice,19.473684210526315
Oqaatsut,2020,water,18.53961687994068
Oqaatsut,2021,water,19.577755951004026
Oqaatsut,2022,water,23.115726337148892
Paamiut,2012,water,9.47680043365373
Paamiut,2013,water,11.48775836158555
Paamiut,2014,water,13.512635692843178
Paamiut,2015,water,15.667790861499768
Paamiut,2016,water,16.854572999462086
Paamiut,2017,water,14.826727501442685
Paamiut,2018,water,17.807674031401405
Paamiut,2019,water,15.4191427366614
Paamiut,2020,ice,4.500000000000001
Paamiut,2020,water,15.996962175609754
Paamiut,2021,water,17.0678205743657
Paamiut,2022,water,18.86877867152032
Qaanaaq,2013,ice,13.941176470588236
Qaanaaq,2014,ice,16.840909245674315
Qaanaaq,2015,ice,16.871134020618555
Qaanaaq,2015,water,16.629032258064516
Qaanaaq,2016,ice,16.702320887991927
Qaanaaq,2017,ice,16.289164869554455
Qaanaaq,2018,ice,16.55692341527165
Qaanaaq,2019,ice,16.72803738317757
Qaanaaq,2020,ice,17.623552436684854
Qaanaaq,2020,water,12.75
Qaanaaq,2021,ice,17.229166947615273
Qaanaaq,2022,ice,15.732876712328768
Qaarsut,2012,ice,12.582758620689654
Qaarsut,2012,water,11.40958046649224
Qaarsut,2013,ice,13.813775510204081
Qaarsut,2013,water,11.912410140721365
Qaarsut,2014,ice,14.61449016100179
Qaarsut,2014,water,14.14519056261343
Qaarsut,2015,ice,16.3025
Qaarsut,2015,water,16.405412012277342
Qaarsut,2016,ice,18.37579617834395
Qaarsut,2016,water,19.39817742675763
Qaarsut,2017,ice,17.947156883188907
Qaarsut,2017,water,17.538822851903074
Qaarsut,2018,ice,18.346564885496182
Qaarsut,2018,water,17.823490097348103
Qaarsut,2019,ice,19.09031476650032
Qaarsut,2019,water,18.167121236794028
Qaarsut,2020,ice,21.0
Qaarsut,2020,water,18.3599649685667
Qaarsut,2021,ice,22.508165829145728
Qaarsut,2021,water,20.425520889274356
Qaarsut,2022,ice,22.752660382338636
Qaarsut,2022,water,21.56236140068057
Qaqortoq,2012,water,8.238097629202983
Qaqortoq,2013,water,8.531971053587155
Qaqortoq,2014,water,9.979777537050778
Qaqortoq,2015,water,11.603594220266354
Qaqortoq,2016,water,13.400292328279686
Qaqortoq,2017,water,10.584388000710378
Qaqortoq,2018,water,10.970241894824946
Qaqortoq,2019,water,9.32692266311765
Qaqortoq,2020,water,10.001916995209074
Qaqortoq,2021,water,9.962922948862527
Qaqortoq,2022,water,8.789893001312391
Qasigiannguit,2012,ice,10.964651527240788
Qasigiannguit,2012,water,13.051271554407467
Qasigiannguit,2013,ice,17.4
Qasigiannguit,2013,water,11.491756529826434
Qasigiannguit,2014,ice,12.361702127659575
Qasigiannguit,2014,water,14.162919744709212
Qasigiannguit,2015,water,15.441727612132036
Qasigiannguit,2016,ice,16.84477090050493
Qasigiannguit,2016,water,12.813279303699563
Qasigiannguit,2017,ice,15.981986666925781
Qasigiannguit,2017,water,11.650926255550628
Qasigiannguit,2018,ice,23.923076923076923
Qasigiannguit,2018,water,16.520115158961616
Qasigiannguit,2019,ice,18.048387096774192
Qasigiannguit,2019,water,15.24610014404335
Qasigiannguit,2020,water,14.102646343796247
Qasigiannguit,2021,water,15.56600113786259
Qasigiannguit,2022,ice,19.375
Qasigiannguit,2022,water,13.466894766797449
Qassiarsuk,2017,water,8.729170907678526
Qassiarsuk,2018,water,8.328955766507455
Qassiarsuk,2019,water,6.9
Qassiarsuk,2020,water,8.0
Qassimiut,2012,water,19.37475838258524
Qassimiut,2013,water,17.987850176666235
Qassimiut,2014,water,15.994589408085007
Qassimiut,2015,water,15.296779141104295
Qassimiut,2016,water,16.18912510499678
Qassimiut,2017,water,13.18438636456128
Qassimiut,2018,water,15.345
Qassimiut,2019,water,7.539354240315587
Qassimiut,2020,water,10.445908433544858
Qassimiut,2021,water,10.431181586607197
Qassimiut,2022,water,10.792338295948301
Qeqertaq,2012,ice,19.603960396039604
Qeqertaq,2012,water,18.554559625876852
Qeqertaq,2013,ice,19.10958904109589
Qeqertaq,2013,water,18.872695346795435
Qeqertaq,2014,ice,19.283636363636365
Qeqertaq,2014,water,19.048776892305
Qeqertaq,2015,ice,25.0
Qeqertaq,2015,water,21.284116331096197
Qeqertaq,2016,ice,21.828488372093023
Qeqertaq,2016,water,23.772847635423744
Qeqertaq,2017,ice,12.879861821766392
Qeqertaq,2017,water,22.15486673977439
Qeqertaq,2018,ice,19.418367346938776
Qeqertaq,2018,water,23.08602352541993
Qeqertaq,2019,ice,15.754518072289157
Qeqertaq,2019,water,23.02338286907852
Qeqertaq,2020,ice,11.691747572815533
Qeqertaq,2020,water,21.12163201820429
Qeqertaq,2021,ice,13.386206896551725
Qeqertaq,2021,water,21.41927695529016
Qeqertaq,2022,ice,18.073700539510487
Qeqertaq,2022,water,22.421991427501283
Qeqertarsuaq,2012,ice,12.3
Qeqertarsuaq,2012,water,15.21140364135214
Qeqertarsuaq,2013,ice,8.492424242424242
Qeqertarsuaq,2013,water,11.99875451339123
Qeqertarsuaq,2014,ice,11.092592592592593
Qeqertarsuaq,2014,water,14.896034903308538
Qeqertarsuaq,2015,ice,20.192307692307693
Qeqertarsuaq,2015,water,12.034619138178256
Qeqertarsuaq,2016,ice,14.26923076923077
Qeqertarsuaq,2016,water,12.032569617773186
Qeqertarsuaq,2017,ice,13.617647058823529
Qeqertarsuaq,2017,water,11.906329685884485
Qeqertarsuaq,2018,ice,22.05
Qeqertarsuaq,2018,water,16.618169636313308
Qeqertarsuaq,2019,ice,16.473684210526315
Qeqertarsuaq,2019,water,18.122581928247293
Qeqertarsuaq,2020,ice,20.628791443850268
Qeqertarsuaq,2020,water,16.1866485013624
Qeqertarsuaq,2021,ice,11.458333333333334
Qeqertarsuaq,2021,water,16.259830070649915
Qeqertarsuaq,2022,water,18.355385381690226
Qeqertarsuatsiaat,2012,water,9.563036461446503
Qeqertarsuatsiaat,2013,water,8.812227074235809
Qeqertarsuatsiaat,2014,water,10.447464352138871
Qeqertarsuatsiaat,2015,water,9.759573829950478
Qeqertarsuatsiaat,2016,water,11.7362066772655
Qeqertarsuatsiaat,2017,water,7.755512249443207
Qeqertarsuatsiaat,2018,water,7.619437398428282
Qeqertarsuatsiaat,2019,water,7.68241410488246
Qeqertarsuatsiaat,2020,water,8.971967911013166
Qeqertarsuatsiaat,2021,water,10.167219493398397
Qeqertarsuatsiaat,2022,water,9.16667111777063
Qeqertat,2013,ice,14.666666666666666
Qeqertat,2014,ice,17.214285714285715
Qeqertat,2015,ice,16.953488372093023
Qeqertat,2015,water,17.166666666666668
Qeqertat,2016,ice,16.824324324324323
Qeqertat,2017,ice,16.71715470821189
Qeqertat,2018,ice,17.06
Qeqertat,2019,ice,17.125
Qeqertat,2020,ice,17.357142857142858
Qeqertat,2021,ice,16.854839051756578
Qeqertat,2022,ice,18.32456140350877
Saarloq,2013,water,18.0
Saarloq,2015,water,20.5
Saarloq,2016,water,25.966666666666665
Saarloq,2020,water,19.0
Saarloq,2021,water,11.3
Saarloq,2022,water,16.5
Saattut,2012,ice,13.482548275339328
Saattut,2012,water,11.991444182193973
Saattut,2013,ice,13.836641645170017
Saattut,2013,water,12.609978255614838
Saattut,2014,ice,15.740309576961392
Saattut,2014,water,14.613908872901678
Saattut,2015,ice,15.40484429065744
Saattut,2015,water,16.40827106818035
Saattut,2016,ice,18.033122038429475
Saattut,2016,water,17.7783147578447
Saattut,2017,ice,19.44609931825393
Saattut,2017,water,19.31093964068711
Saattut,2018,ice,18.505858028945553
Saattut,2018,water,19.554121641720574
Saattut,2019,ice,19.627702241909457
Saattut,2019,water,19.779322994057175
Saattut,2020,ice,20.672223912997037
Saattut,2020,water,20.337108034316607
Saattut,2021,ice,23.26980714342904
Saattut,2021,water,22.55167014031941
Saattut,2022,ice,23.68477572465955
Saattut,2022,water,22.243618108356063
Saqqaq,2012,ice,14.924757281553399
Saqqaq,2012,water,15.961840697509569
Saqqaq,2013,ice,12.458370778252526
